Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
19,Gaming and Contest,0.9679,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['internet', 'joker', 'enter', 'simulator', 'appli', 'mytt', 'choose', 'internet', 'forfait', 'help']"
20,Services and Offers,0.9469,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['country', 'progress', 'year']"
21,Services and Offers,0.9601,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['word', 'word', 'come', 'enter', 'lottery', 'win', 'game', 'score']"
22,Gaming and Contest,0.9366,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['shakun', 'come']"
23,Gaming and Contest,0.9641,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['song', 'dattente', 'service', 'choose', 'song', 'like', 'sheikh', 'talk', 'music']"
24,Gaming and Contest,0.9585,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['tag', 'friend', 'pull', 'listen', 'music']"
25,Services and Offers,0.9532,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['internet', 'like', 'share', 'number']"
26,Services and Offers,0.9721,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['participate', 'challenge', 'flip', 'use', 'bande', 'sonore', 'check', 'tunisie', 'telecom', 'danceislife', 'tiktok', 'https', 'tiktok', 'com', 'tunisie', 'telecom']"
27,Services and Offers,0.9475,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['manage', 'use', 'program']"
28,Services and Offers,0.9681,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['like', 'win', 'month', 'participate', 'saga', 'quiz', 'answer', 'question', 'celebrate', 'win']"
29,Services and Offers,0.9597,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['congratulation', 'winner', 'win', 'case', 'dinar', 'magasin']"
30,Gaming and Contest,0.9694,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['service', 'walk', 'win', 'walk', 'earn', 'point', 'win', 'bon', 'month', 'combo', 'enjoy', 'day', 'telecharge', 'application', 'honey']"
31,Gaming and Contest,0.9608,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['play', 'win', 'plaza', 'come', 'win', 'million', 'enter']"
32,Gaming and Contest,0.9677,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['esport', 'tn', 'plug', 'win', 'coin', 'exchange', 'وequipement', 'game', 'fun']"
33,Services and Offers,0.954,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['shakun', 'speak', 'look', 'galaxy']"
34,Gaming and Contest,0.9336,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['substitute', 'internet']"
35,Services and Offers,0.9311,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['turn', 'win']"
36,Services and Offers,0.9698,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['lesson', 'exercise', 'include', 'fix', 'revision', 'child', 'service', 'code', 'log', 'com']"
37,Services and Offers,0.9664,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['wheel', 'play', 'win', 'cash', 'gift', 'https', 'onelink', 'appli', 'win', 'play']"
38,Services and Offers,0.9369,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['pop', 'share']"
39,Gaming and Contest,0.9734,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['progress', 'understand', 'health', 'thing', 'world', 'improve', 'health', 'service', 'tower', 'tip', 'specialist', 'field', 'combo', 'enjoy', 'day', 'blush']"
40,Services and Offers,0.9691,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['debit', 'good', 'adsl', 'debit', 'bash', 'reach', 'price', 'st', 'information', 'link', 'bit']"
41,Gaming and Contest,0.9677,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['esport', 'tn', 'plug', 'win', 'coin', 'exchange', 'وequipement', 'game', 'fun']"
42,Gaming and Contest,0.9639,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['play', 'pro', 'win', 'play', 'esport', 'win', 'gaming', 'equipment', 'gift']"
43,Gaming and Contest,0.9655,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['meet', 'dance', 'follow', 'event', 'year', 'bash', 'tafbri', 'artist', 'mondo', 'dance']"
44,Gaming and Contest,0.9466,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['know', 'weight', 'phone']"
45,Services and Offers,0.9619,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['win', 'chenchina', 'play', 'past', 'winner', 'profit', 'month']"
46,Gaming and Contest,0.9582,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['sleeples', 'eye', 'women', 'affair', 'answer']"
47,Gaming and Contest,0.9662,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['wire', 'combo', 'enjoy', 'advance', 'dinar', 'stay', 'network', 'number']"
48,Gaming and Contest,0.9614,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['combozi', 'choose', 'forfait', 'internet', 'connect', 'network']"
49,Gaming and Contest,0.9342,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['think', 'service']"
50,Gaming and Contest,0.9691,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['download', 'appli', 'mytt', 'enjoy', 'discount', 'internet', 'package', 'pay', 'bank', 'card']"
51,Gaming and Contest,0.938,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['series', 'want']"
52,Services and Offers,0.9619,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['telecom', 'recharge', 'appli', 'mytt', 'enjoy', 'onelink']"
53,Services and Offers,0.942,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['follow', 'stalk', 'win']"
54,Gaming and Contest,0.9608,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['play', 'win', 'plaza', 'come', 'win', 'million', 'enter']"
55,Services and Offers,0.9569,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['village', 'denfant', 'child', 'sm', 'dinar']"
56,Gaming and Contest,0.947,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['hear', 'talent', 'fun']"
57,Gaming and Contest,0.9598,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['congratulation', 'winner', 'win', 'case', 'عزيزة', 'magasin']"
58,Gaming and Contest,0.9374,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['wish', 'return']"
59,Services and Offers,0.9377,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['atmosphere', 'program']"
60,Gaming and Contest,0.9574,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['live', 'forfait', 'debit', 'card', 'onelink']"
61,Services and Offers,0.9364,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['turn', 'cooperate']"
62,Services and Offers,0.9601,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['word', 'word', 'come', 'enter', 'lottery', 'win', 'game', 'score']"
63,Gaming and Contest,0.9336,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['substitute', 'internet']"
64,Gaming and Contest,0.9658,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['know', 'eat', 'spend', 'day', 'comfortably', 'add', 'course', 'service']"
65,Services and Offers,0.9688,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['work', 'eyai', 'hadranet', 'tt', 'kampuzi', 'choose', 'option', 'option', 'mixte', 'freedom', 'term']"
66,Gaming and Contest,0.9631,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['congratulation', 'waffi', 'client', 'win', 'case', 'عزيزة', 'magasin']"
67,Gaming and Contest,0.9661,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['validite', 'pleasure', 'waste', 'internet', 'use', 'internet', 'extend', 'day', 'start']"
68,Services and Offers,0.9688,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['work', 'eyai', 'hadranet', 'tt', 'kampuzi', 'choose', 'option', 'option', 'mixte', 'freedom', 'term']"
69,Gaming and Contest,0.9631,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['congratulation', 'waffi', 'client', 'win', 'case', 'عزيزة', 'magasin']"
70,Gaming and Contest,0.9661,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['validite', 'pleasure', 'waste', 'internet', 'use', 'internet', 'extend', 'day', 'start']"
71,Gaming and Contest,0.9658,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['know', 'eat', 'spend', 'day', 'comfortably', 'add', 'course', 'service']"
72,Services and Offers,0.9688,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['work', 'eyai', 'hadranet', 'tt', 'kampuzi', 'choose', 'option', 'option', 'mixte', 'freedom', 'term']"
73,Gaming and Contest,0.9631,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['congratulation', 'waffi', 'client', 'win', 'case', 'عزيزة', 'magasin']"
74,Gaming and Contest,0.9661,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['validite', 'pleasure', 'waste', 'internet', 'use', 'internet', 'extend', 'day', 'start']"
75,Gaming and Contest,0.9744,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['learn', 'time', 'waffi', 'subscription', 'client', 'win', 'case', 'dinar', 'spend', 'magasin', 'installation', 'les', 'debit', 'start', 'mo']"
76,Services and Offers,0.975,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['congratulation', 'winner', 'game', 'recharge', 'data', 'activation', 'enter', 'bash', 'spin', 'wheel', 'win', 'recharge', 'smartphone', 'cash', 'year', 'profit', 'play', 'mytt']"
77,Gaming and Contest,0.9674,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['breathe', 'internet', 'waffi', 'add', 'installation', 'les', 'debit', 'start', 'على']"
78,Services and Offers,0.9585,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['fibre', 'issue', 'waffi', 'win', 'recharge', 'dinar']"
79,Gaming and Contest,0.9716,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['breathe', 'internet', 'time', 'waffi', 'deja', 'abonne', 'client', 'win', 'case', 'spend', 'عزيزة', 'magasin']"
80,Services and Offers,0.9531,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['enter', 'mytt', 'win', 'play']"
81,Gaming and Contest,0.9684,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['tell', 'joke', 'eyai', 'commentary', 'wish', 'star', 'laugh', 'splash', 'accessory']"
82,Services and Offers,0.9666,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['congratulation', 'win', 'wheel', 'mytt', 'enter', 'mytt', 'play', 'wheel', 'win', 'recharge', 'smartphone', 'cash']"
83,Services and Offers,0.963,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['play', 'win', 'mytt', 'profit', 'play', 'game', 'http', 'onelink']"
84,Gaming and Contest,0.9639,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['congratulation', 'winner', 'participate', 'win', 'esport', 'tournament', 'tn']"
85,Services and Offers,0.9674,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['breathe', 'internet', 'know', 'bank', 'card', 'mytt', 'dinar', 'month', 'onelink']"
86,Gaming and Contest,0.9481,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['photo', 'represent', 'joy']"
87,Services and Offers,0.9609,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['fibre', 'rapido', 'choose', 'today', 'dinar', 'month']"
88,Services and Offers,0.9703,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['breathe', 'internet', 'know', 'tunis', 'crown', 'year', 'rizo', 'ask', 'accept', 'puce', 'اربعة_بلاش']"
89,Services and Offers,0.966,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['breathe', 'internet', 'enjoy', 'internet', 'connection', 'puce', 'helmet', 'space', 'minute']"
90,Services and Offers,0.9512,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['word', 'win', 'recharge', 'dinar']"
91,Gaming and Contest,0.9482,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['memory', 'martyr', 'homeland']"
92,Gaming and Contest,0.9684,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['tell', 'joke', 'eyai', 'commentary', 'wish', 'star', 'laugh', 'splash', 'accessory']"
93,Services and Offers,0.9666,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['congratulation', 'win', 'wheel', 'mytt', 'enter', 'mytt', 'play', 'wheel', 'win', 'recharge', 'smartphone', 'cash']"
94,Services and Offers,0.9538,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['title', 'movie', 'win', 'recharge', 'dinar']"
95,Gaming and Contest,0.975,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['know', 'tunisian', 'travel', 'like', 'stay', 'contact', 'reassure', 'congratulate', 'love', 'omra', 'enjoy', 'forfait', 'internet', 'en', 'roam', 'offer']"
96,Services and Offers,0.9582,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['offer', 'fit', 'code', 'win', 'recharge', 'dinar']"
97,Services and Offers,0.9727,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['love', 'gossip', 'internet', 'breathe', 'activate', 'net', 'http', 'onelink', 'zgrf', 'tt', 'choose', 'option', 'suit']"
98,Gaming and Contest,0.9567,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['replace', 'intelligence', 'service', 'choose', 'serve']"
99,Gaming and Contest,0.9716,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['breathe', 'internet', 'time', 'waffi', 'deja', 'abonne', 'client', 'win', 'case', 'spend', 'عزيزة', 'magasin']"
100,Services and Offers,0.9531,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['enter', 'mytt', 'win', 'play']"
101,Services and Offers,0.9445,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['teleshergi', 'profit', 'play']"
102,Services and Offers,0.9715,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['wait', 'raksha', 'subscriber', 'movie', 'series', 'internet', 'mil', 'day', 'mala', 'combezi', 'enjoy', 'day', 'blush']"
103,Gaming and Contest,0.9685,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['order', 'miss', 'wedding', 'raksha', 'day', 'combose', 'enjoy', 'day', 'offer', 'breathe', 'internet']"
104,Gaming and Contest,0.9763,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['telecom', 'enable', 'traveler', 'rest', 'assure', 'congratulate', 'love', 'campzio', 'bash', 'satisfy', 'pass', 'omra', 'enjoy', 'discount', 'forfait', 'internet', 'en', 'roam']"
105,Services and Offers,0.9683,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['enjoy', 'validity', 'activate', 'package', 'appli', 'mytt', 'month', 'zgrf', 'ain', 'playing']"
106,Services and Offers,0.9167,"win, play, month, year, enter, internet, dinar, like, winner, mytt",['half']
107,Gaming and Contest,0.9677,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['esport', 'tn', 'plug', 'win', 'coin', 'exchange', 'وequipement', 'game', 'fun']"
108,Services and Offers,0.9609,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['fibre', 'rapido', 'choose', 'today', 'dinar', 'month']"
109,Services and Offers,0.9691,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['congratulation', 'winner', 'mytt', 'enter', 'mytt', 'play', 'wheel', 'win', 'recharge', 'smartphone', 'cash', 'win', 'play']"
110,Services and Offers,0.9628,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['log', 'bash', 'play', 'win', 'gift', 'http', 'onelink']"
111,Services and Offers,0.9677,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['charge', 'phone', 'activate', 'internet', 'winner', 'split', 'cash', 'reach', 'mallala']"
112,Services and Offers,0.5771,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['telecharge', 'appli', 'mytt', 'charge', 'phone', 'activate', 'internet', 'exclusively', 'onelink', 'zgrf', 'winner', 'split', 'cash', 'reach', 'mallala']"
113,Services and Offers,0.9609,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['fibre', 'rapido', 'choose', 'today', 'dinar', 'month']"
114,Services and Offers,0.9708,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['charge', 'phone', 'activate', 'internet', 'onelink', 'zgrf', 'winner', 'split', 'cash', 'reach', 'mallala']"
115,Services and Offers,0.9659,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['introduce', 'eyai', 'intelligence', 'breathing', 'internet', 'learn', 'accent', 'store']"
116,Gaming and Contest,0.9671,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['charge', 'phone', 'internet', 'especially', 'winner', 'split', 'cash', 'reach', 'mallala']"
117,Services and Offers,0.9659,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['introduce', 'eyai', 'intelligence', 'breathing', 'internet', 'learn', 'accent', 'store']"
118,Services and Offers,0.9725,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['year', 'game', 'profit', 'mytt', 'spin', 'wheel', 'win', 'recharge', 'telephone', 'cash', 'http', 'onelink', 'mallala']"
119,Gaming and Contest,0.9642,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['spin', 'wheel', 'mytt', 'win', 'recharge', 'telephone', 'cash', 'malala']"
120,Services and Offers,0.9756,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['year', 'fun', 'enter', 'click', 'tt', 'win', 'play', 'spin', 'wheel', 'http', 'onelink', 'zgrf', 'charge', 'phone', 'dinar', 'forva', 'internet']"
121,Services and Offers,0.9608,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['tunis', 'celebration', 'year', 'number', 'course', 'reseau']"
122,Gaming and Contest,0.9457,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['telecom', 'wish', 'bless']"
123,Services and Offers,0.965,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['know', 'joy', 'enter', 'com', 'try', 'culture', 'win', 'month']"
124,Gaming and Contest,0.9667,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['congratulation', 'winner', 'participate', 'tournament', 'league', 'legend', 'platform', 'sport', 'bytt']"
125,Services and Offers,0.9711,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['application', 'receette', 'recipe', 'bash', 'taste', 'classify', 'hand', 'download', 'app', 'play', 'store']"
126,Gaming and Contest,0.978,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['telecom', 'tawer', 'develop', 'cooperation', 'soul', 'build', 'idea', 'offer', 'content', 'tell', 'develop', 'soul', 'world', 'way', 'topic', 'story', 'wait', 'kampuzi', 'subscribe', 'improve', 'life', 'subscription', 'enjoy', 'day']"
127,Services and Offers,0.9541,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['th', 'independence', 'anniversary', 'country']"
128,Services and Offers,0.938,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['rank', 'work']"
129,Services and Offers,0.9681,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['like', 'win', 'month', 'participate', 'saga', 'quiz', 'answer', 'question', 'celebrate', 'win']"
130,Services and Offers,0.972,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['congratulation', 'winner', 'mytt', 'play', 'wheel', 'enter', 'lottery', 'win', 'smartphone', 'desا', 'cash', 'recharge', 'card']"
131,Gaming and Contest,0.9614,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['combozi', 'choose', 'forfait', 'internet', 'connect', 'network']"
132,Services and Offers,0.9167,"win, play, month, year, enter, internet, dinar, like, winner, mytt",['year']
133,Gaming and Contest,0.9537,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['let', 'watch', 'video', 'youtube']"
134,Gaming and Contest,0.9336,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['substitute', 'internet']"
135,Gaming and Contest,0.938,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['prediction', 'mar']"
136,Services and Offers,0.9698,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['lesson', 'exercise', 'include', 'fix', 'revision', 'child', 'service', 'code', 'log', 'com']"
137,Gaming and Contest,0.9691,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['download', 'appli', 'mytt', 'enjoy', 'discount', 'internet', 'package', 'pay', 'bank', 'card']"
138,Gaming and Contest,0.9679,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['internet', 'joker', 'enter', 'simulator', 'appli', 'mytt', 'choose', 'internet', 'forfait', 'help']"
139,Services and Offers,0.9628,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['connection', 'barca', 'internet', 'dinar', 'enjoy', 'activate', 'onelink']"
140,Services and Offers,0.9619,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['telecom', 'recharge', 'appli', 'mytt', 'enjoy', 'onelink']"
141,Gaming and Contest,0.9608,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['play', 'win', 'plaza', 'come', 'win', 'million', 'enter']"
142,Services and Offers,0.9637,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['offer', 'connection', 'account', 'internet', 'month', 'start', 'dinar']"
143,Services and Offers,0.9747,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['tt', 'celebrate', 'gift', 'play', 'wheel', 'role', 'try', 'luck', 'win', 'cartا', 'cash', 'recharge', 'card', 'click', 'tt', 'link', 'zgrf']"
144,Gaming and Contest,0.9639,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['congratulation', 'winner', 'participate', 'win', 'esport', 'tournament', 'tn']"
145,Gaming and Contest,0.9737,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['offer', 'waffi', 'pay', 'receive', 'internet', 'debit', 'mah', 'hour', 'day', 'option', 'mobile', 'reach', 'divide', 'people']"
146,Services and Offers,0.9626,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['like', 'win', 'horror', 'month', 'answer', 'question', 'hopefully']"
147,Services and Offers,0.9626,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['congratulation', 'run', 'wheel', 'mytt', 'win', 'recharge', 'card']"
148,Services and Offers,0.963,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['today', 'tell', 'internet', 'network', 'year', 'year', 'nperf', 'certificate']"
149,Gaming and Contest,0.6877,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['travel', 'like', 'stay', 'connecte', 'etisalat', 'bring', 'forfait', 'dinar', 'connect', 'price', 'cambodian', 'choose', 'pass', 'roam', 'datum']"
150,Services and Offers,0.9711,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['tt', 'party', 'gift', 'enter', 'wheel', 'try', 'luck', 'win', 'smartphone', 'cash', 'carte', 'onelink']"
151,Gaming and Contest,0.9605,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['increase', 'knowledge', 'day', 'enjoy', 'udaily', 'service']"
152,Gaming and Contest,0.9476,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['sim', 'come', 'photography']"
153,Gaming and Contest,0.9526,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['turn', 'meow', 'connect', 'internet']"
154,Gaming and Contest,0.9677,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['esport', 'tn', 'plug', 'win', 'coin', 'exchange', 'وequipement', 'game', 'fun']"
155,Services and Offers,0.9688,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['win', 'deux', 'ticket', 'choose', 'jazz', 'festival', 'evening', 'guest', 'program', 'instagram']"
156,Gaming and Contest,0.9641,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['song', 'dattente', 'service', 'choose', 'song', 'like', 'sheikh', 'talk', 'music']"
157,Gaming and Contest,0.9525,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['phone', 'come', 'ram', 'beat']"
158,Services and Offers,0.9532,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['internet', 'like', 'share', 'number']"
159,Services and Offers,0.9363,"win, play, month, year, enter, internet, dinar, like, winner, mytt","['play', 'quiz']"
160,Gaming and Contest,0.9639,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service","['play', 'pro', 'win', 'play', 'esport', 'win', 'gaming', 'equipment', 'gift']"
161,Others,0.5,"win, esport, internet, tn, enjoy, game, congratulation, winner, tournament, service",[]
